Algoritmo,Número de Clusters,var1,var2,Inércia,Coesão,Coeficiente de Silhueta,Rand Score,Homogeneidade,Completude,Entropia,Matriz de Contingência
DBSCAN,1,40,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,80,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,90,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
AGNES,2,2,ward,199629.2767780146,19430.293821604613,0.2751713081259617,0.7385651055688411,0.38066745540110175,0.38384015828548623,0.6867770980977018,"[[472, 3736], [3132, 784]]"
AGNES,2,2,complete,256109.54080001375,22295.950513359643,0.41093290868948856,0.49993856761499234,0.00819917521264808,0.04320344808754221,0.13142325605057342,"[[192, 4016], [44, 3872]]"
AGNES,2,2,average,256109.54080001375,22295.950513359643,0.41093290868948856,0.49993856761499234,0.00819917521264808,0.04320344808754221,0.13142325605057342,"[[192, 4016], [44, 3872]]"
AGNES,2,2,single,274812.4995054401,22854.786822126473,0.42452067623929307,0.5009423370237013,0.004684987392546122,0.11409722759225865,0.028435037135466596,"[[4208, 0], [3880, 36]]"
AGNES,3,3,ward,165193.75152178426,11653.784443610313,0.30500402610591126,0.6897557270166658,0.44126499306374983,0.3074520896874332,0.9938995425006323,"[[3736, 472, 0], [784, 1404, 1728]]"
AGNES,3,3,complete,253255.34249492903,14791.846433565928,0.4009256308958102,0.5001393214967341,0.022407092321023395,0.10788370003301334,0.14383021701709442,"[[4016, 192, 0], [3872, 8, 36]]"
AGNES,3,3,average,253255.34249492903,14791.846433565928,0.4009256308958102,0.5001393214967341,0.022407092321023395,0.10788370003301334,0.14383021701709442,"[[192, 4016, 0], [8, 3872, 36]]"
AGNES,3,3,single,273841.3074257426,15213.79583870314,0.36709425573690263,0.5010238023670167,0.005730275789070208,0.10952143887165526,0.03623237883515976,"[[0, 0, 4208], [36, 8, 3872]]"
AGNES,4,4,ward,149654.68895020694,8228.421399416728,0.22069582805074772,0.627570514952497,0.44170592989170915,0.2252801187319914,1.3577844429391837,"[[472, 2360, 0, 1376], [1404, 528, 1728, 256]]"
AGNES,4,4,complete,187178.67028985507,9532.28725394066,0.24941354248525238,0.7499663743309491,0.4388662832885797,0.37221539902059964,0.8165040536550181,"[[624, 192, 0, 3392], [3424, 8, 36, 448]]"
AGNES,4,4,average,249490.0248478702,10987.822245364447,0.3547768434325611,0.49990656337297557,0.022969346016196157,0.09987456180176715,0.15926274920745448,"[[4016, 128, 0, 64], [3872, 8, 36, 0]]"
AGNES,4,4,single,273517.3074257426,11399.296224649097,0.36160921592348794,0.5010139828836707,0.005730275789070194,0.10096247511444251,0.039303932072500734,"[[0, 0, 4208, 0], [8, 18, 3872, 18]]"
AGNES,5,5,ward,135482.9404650976,6359.394666599746,0.23862151096226483,0.6327144694875618,0.47863030434904946,0.22966165136881822,1.4432187886815424,"[[2360, 280, 0, 1376, 192], [528, 1368, 1728, 256, 36]]"
AGNES,5,5,complete,171612.44733051403,7310.481851768245,0.2219733984688112,0.7635652677115445,0.5569384283141156,0.35839652662994426,1.0761278173809328,"[[192, 512, 0, 3392, 112], [8, 360, 36, 448, 3064]]"
AGNES,5,5,average,179883.08295293982,7465.187098459256,0.3033004589261155,0.5746437421735838,0.17524865663072953,0.17053121396844514,0.7116579067755482,"[[260, 128, 0, 64, 3756], [1760, 8, 36, 0, 2112]]"
AGNES,5,5,single,273445.3074257426,9116.106644174768,0.325410639718837,0.5010134979709129,0.005730275789070194,0.09923905111725079,0.03998649945857671,"[[4208, 0, 0, 0, 0], [3872, 18, 4, 18, 4]]"
AGNES,6,6,ward,123710.18002178986,5063.977286209045,0.2644743538668043,0.6322722290524204,0.5230779799378241,0.22124550197351212,1.6372404009105526,"[[280, 2016, 0, 1376, 192, 344], [1368, 192, 1728, 256, 36, 336]]"
AGNES,6,6,complete,167847.1296834552,6021.35982326687,0.22566059955947995,0.763332509587786,0.5575006820092883,0.35368620105237497,1.0915603495712927,"[[512, 112, 0, 3392, 128, 64], [360, 3064, 36, 448, 8, 0]]"
AGNES,6,6,average,172556.5125727456,6115.96213703823,0.28804336525377977,0.5863475964965781,0.2817483388454872,0.24441434818461075,0.7982797854100219,"[[128, 224, 0, 64, 3756, 36], [8, 0, 36, 0, 2112, 1760]]"
AGNES,6,6,single,271876.05505952385,7574.702444844592,0.28490868056053215,0.5008583258884072,0.0075883099486839635,0.09693064605519862,0.054213122158895614,"[[4192, 0, 0, 0, 0, 16], [3872, 18, 4, 18, 4, 0]]"
