Algoritmo,Número de Clusters,var1,var2,Inércia,Coesão,Coeficiente de Silhueta,Rand Score,Homogeneidade,Completude,Entropia,Matriz de Contingência
DBSCAN,1,30,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,30,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,30,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,30,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,30,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,30,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,30,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,40,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,50,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,60,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,70,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
