i,alg,rmse,mae
13, RLM, 9921.779811631714, 8063.427145221301
14, KNR, 365718.99012487096, 27016.19897623956
14, MLP, 46664.03143234839, 38083.39513302374
14, SVM, 11475.207585034157, 9304.469028178986
14, RF, 25242.976788233824, 20275.958038240322
14, GB, 17126.290702623937, 13913.785435020227
14, RLM, 10779.460208659842, 8615.205657571032
15, KNR, 358292.4852631679, 24188.43270980648
15, MLP, 38595.157369763016, 31414.645280744684
15, SVM, 10019.278811532517, 7835.101231372716
15, RF, 21614.685601690584, 17145.255882004705
15, GB, 15797.096008503255, 12534.168018373199
15, RLM, 9612.501891299647, 7519.028211311808
16, KNR, 371082.5576897597, 26293.49015152312
16, MLP, 36315.582991715855, 29657.791777769708
16, SVM, 10476.306715406683, 8426.827196171187
16, RF, 22821.577335196696, 18070.14947598129
16, GB, 15595.107326899393, 12589.182885105158
16, RLM, 10087.952717265773, 7843.482632651191
17, KNR, 345832.80065913626, 24547.673441968494
17, MLP, 41049.22540267707, 33603.551172780724
17, SVM, 11040.63347712778, 8820.296407029104
17, RF, 21577.32954265677, 17359.252098124853
17, GB, 15123.69946785818, 12091.730973351298
17, RLM, 10718.096827325602, 8408.433995522573
18, KNR, 344871.02012300503, 26875.9080759456
18, MLP, 32168.731009750267, 25675.562425692562
18, SVM, 10627.434628806937, 8447.987557755114
18, RF, 23742.952780948763, 18894.84105312557
18, GB, 17033.1488958557, 13670.5311899442
18, RLM, 10026.71175438655, 7870.151932726682
19, KNR, 356265.1233317804, 26115.36956150364
19, MLP, 54142.00717407119, 45083.08592346727
19, SVM, 10405.151878692299, 8391.03315745437
19, RF, 21130.24073023198, 17165.305417797117
19, GB, 16242.300733646673, 13203.916017181205
19, RLM, 9953.436149951898, 8028.926825049882
